date,semiconductor_demand,semiconductor_supply,automotive_production,consumer_electronics,industrial_automation,price_index,inventory_levels,manufacturing_capacity,demand_lag1,supply_lag1,price_lag1
2020-02-29,94.7108795339118,99.30867849414408,100.49116388403482,101.93067571181837,97.23199384023366,98.53114639312875,96.40257734679788,99.14983186493724,101.03085486870539,102.48357076505616,99.65674390566268
2020-03-31,100.97225190818439,103.23844269050346,102.61120797897262,98.23221348166783,101.64173892790376,100.81468154341344,96.6924788648612,99.85433010140021,94.7108795339118,99.30867849414408,98.53114639312875
2020-04-30,98.84475315875105,107.61514928204012,105.15377089213152,100.60771972997125,103.81669447227372,104.73454522752202,92.20439082927776,96.58800610978001,100.97225190818439,103.23844269050346,100.81468154341344
2020-05-31,97.96923399908212,98.82923312638331,93.40190353290501,100.8633645726807,97.76397837815107,99.11176120919875,96.23363940374726,98.00432914678213,98.84475315875105,107.61514928204012,104.73454522752202
2020-06-30,101.8350288665226,98.8293152152541,97.38087088114185,100.18854314885202,99.8391762979927,98.44271769308146,103.42853113578299,100.13616898756005,97.96923399908212,98.82923312638331,99.11176120919875
2020-07-31,103.09299856748785,107.89606407753696,104.94599319592248,105.4891169975598,103.27484306790677,100.85551671715507,96.25783257554937,98.12111391895635,101.8350288665226,98.8293152152541,98.44271769308146
2020-08-31,102.7938403573486,103.83717364576455,99.86062983972516,103.34164881594965,99.24892886264458,97.51941303612145,93.84943047166155,97.83496155552838,103.09299856748785,107.89606407753696,100.85551671715507
2020-09-30,97.48234743033208,97.65262807032524,97.47695960959615,96.55150267745967,99.77662594882666,100.30542065863874,102.85483902639392,98.35371180986093,102.7938403573486,103.83717364576455,97.51941303612145
2020-10-31,99.07236287244636,102.71280021792982,103.78644360160202,102.3244412222409,102.2066891399084,101.29809822468819,99.63753745183217,99.65025980933633,97.48234743033208,97.65262807032524,100.30542065863874
2020-11-30,100.9937902942107,97.68291153593769,105.69107283359227,99.48896434145865,101.23926710072563,98.57847443908435,102.44234866935119,96.40870477778667,99.07236287244636,102.71280021792982,101.29809822468819
2020-12-31,102.92663538136708,97.67135123214871,98.83539223704632,96.45975648521012,101.17614459692929,100.41997848508838,101.51809007212216,96.48647782089151,100.9937902942107,97.68291153593769,98.57847443908435
2021-01-31,98.56247728646413,86.93569817252828,90.57876010091367,97.75874243695122,92.01894053309712,110.03211740892387,86.71001366615944,94.64382100925361,102.92663538136708,97.67135123214871,100.41997848508838
2021-02-28,99.44302307000855,69.69375804273761,75.45722277112543,83.23775358837794,86.00185313726479,120.7180179949215,75.98472542893148,90.48123310939759,98.56247728646413,86.93569817252828,110.03211740892387
2021-03-31,96.68099507798192,71.20065733989574,69.28544101072042,79.1464839123295,89.51033347037561,116.9258284144344,83.57692816354333,91.98201233316473,99.44302307000855,69.69375804273761,120.7180179949215
